HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
KINGS VALLEY,191,00,1,0,0,26,MILEPOST 26.00,26.00,019100100S00,19100I00,44.6602707,-123.4318554,3,NAD 83,2014,07/14/2015
KINGS VALLEY,191,00,1,0,0,27,MILEPOST 27.00,27.00,019100100S00,19100I00,44.6469671,-123.4287419,3,NAD 83,2014,07/14/2015
KINGS VALLEY,191,00,1,0,0,13.05,MILEPOST 13.00,13.00,019100100S00,19100I00,44.8085032,-123.402422,3,NAD 83,2014,07/14/2015
KINGS VALLEY,191,00,1,0,0,9,MILEPOST 9.00,9.00,019100100S00,19100I00,44.8531954,-123.3576842,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,243.01,MILEPOST 243.00,243.00,000900100S00,00900I00,43.3093283,-124.2098761,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,207.05,MILEPOST 207.00,207.00,000900100S00,00900I00,43.7590791,-124.1229021,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,163,MILEPOST 163.00,163.00,000900100S00,00900I00,44.3298447,-124.0991132,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,150.98,MILEPOST 151.00,151.00,000900100S00,00900I00,44.4955509,-124.0830583,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,136,MILEPOST 136.00,136.00,000900100S00,00900I00,44.6981828,-124.0619545,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,129,MILEPOST 129.00,129.00,000900100S00,00900I00,44.7899104,-124.0656364,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,208,MILEPOST 208.00,208.00,000900100S00,00900I00,43.7486923,-124.1194177,3,NAD 83,2014,07/14/2015
CLACKAMAS,171,00,1,0,0,31.91,MILEPOST 32.00,32.00,017100100S00,17100I00,45.21289,-122.2296275,3,NAD 83,2014,07/14/2015
CLACKAMAS,171,00,1,0,0,32.94,MILEPOST 33.00,33.00,017100100S00,17100I00,45.1997289,-122.2240069,3,NAD 83,2014,07/14/2015
OREGON COAST,009,00,1,0,0,323.93,MILEPOST 324.00,324.00,000900100S00,00900I00,42.4670269,-124.4185348,3,NAD 83,2014,07/14/2015
KINGS VALLEY,191,00,1,0,0,16.97,MILEPOST 17.00,17.00,019100100S00,19100I00,44.7589785,-123.4115496,3,NAD 83,2014,07/14/2015
KINGS VALLEY,191,00,1,0,0,14.97,MILEPOST 15.00,15.00,019100100S00,19100I00,44.7819032,-123.4103515,3,NAD 83,2014,07/14/2015
WARM SPRINGS,053,00,1,0,0,58,MILEPOST 58.00,58.00,005300100S00,05300I00,45.2776142,-121.7141509,3,NAD 83,2014,07/14/2015
WARM SPRINGS,053,00,1,0,0,58.99,MILEPOST 59.00,59.00,005300100S00,05300I00,45.2644448,-121.7162994,3,NAD 83,2014,07/14/2015
HUNTINGTON,449,00,1,0,0,3.84,MILEPOST 4.00,4.00,044900100S00,44900I00,44.3710313,-117.2881981,3,NAD 83,2014,07/14/2015
HUNTINGTON,449,00,1,0,0,4.83,MILEPOST 5.00,5.00,044900100S00,44900I00,44.3601702,-117.2771167,3,NAD 83,2014,07/14/2015
SUMPTER,410,00,1,0,0,0.96,MILEPOST 1.00,1.00,041000100S00,41000I00,44.7406736,-118.2023225,3,NAD 83,2014,07/14/2015
PAULINA,380,00,1,0,0,1.99,MILEPOST 2.00,2.00,038000100S00,38000I00,44.2816566,-120.8070049,3,NAD 83,2014,07/14/2015
PAULINA,380,00,1,0,0,16.99,MILEPOST 17.00,17.00,038000100S00,38000I00,44.1783154,-120.6149077,3,NAD 83,2014,07/14/2015
PAULINA,380,00,1,0,0,17.98,MILEPOST 18.00,18.00,038000100S00,38000I00,44.1805725,-120.5961083,3,NAD 83,2014,07/14/2015
PAULINA,380,00,1,0,0,18.97,MILEPOST 19.00,19.00,038000100S00,38000I00,44.1812725,-120.5769187,3,NAD 83,2014,07/14/2015
PAULINA,380,00,1,0,0,20,MILEPOST 20.00,20.00,038000100S00,38000I00,44.173808,-120.5596717,3,NAD 83,2014,07/14/2015
