service_id,first_date,last_date,active_days
C,2008-10-12,2010-10-10,105
U,2008-10-12,2010-10-10,105
f,2008-10-13,2010-10-07,405
p,2008-10-13,2010-10-07,430
2,2008-10-13,2010-10-08,507
A,2008-10-13,2010-10-08,507
W,2008-10-13,2010-10-08,507
F,2008-10-17,2010-10-08,102
P,2008-10-17,2010-10-08,102
B,2008-10-18,2010-10-09,103
S,2008-10-18,2010-10-09,103
X,2008-11-27,2010-09-06,14
V,2008-11-30,2009-12-20,9
H,2008-12-06,2009-07-11,3
h,2008-12-07,2009-08-16,4
Y,2008-12-31,2009-12-31,2
I,2009-02-02,2009-09-12,21
b,2009-02-07,2009-05-30,3
c,2009-02-08,2010-07-04,3
D,2009-04-01,2009-07-10,4
m,2009-05-23,2009-05-23,1
T,2009-05-24,2009-05-24,1
e,2009-05-26,2010-06-15,193
E,2009-05-26,2010-06-15,152
r,2009-05-30,2009-05-30,1
j,2009-06-03,2009-06-03,1
R,2009-06-06,2009-06-06,1
g,2009-08-03,2010-06-09,44
G,2009-08-08,2010-06-04,162
k,2009-09-13,2010-05-30,13
K,2009-09-19,2010-06-05,13
d,2009-09-20,2009-09-20,1
N,2009-12-25,2009-12-25,1
n,2010-01-01,2010-01-01,1
2.283,2010-04-16,2010-04-23,6
A.283,2010-04-16,2010-04-23,6
e.283,2010-04-16,2010-04-23,6
E.283,2010-04-16,2010-04-23,5
F.283,2010-04-16,2010-04-23,2
G.283,2010-04-16,2010-04-23,6
P.283,2010-04-16,2010-04-23,2
W.283,2010-04-16,2010-04-23,6
B.283,2010-04-17,2010-04-24,2
S.283,2010-04-17,2010-04-24,2
C.283,2010-04-18,2010-04-18,1
U.283,2010-04-18,2010-04-18,1
f.283,2010-04-19,2010-04-22,4
p.283,2010-04-19,2010-04-22,4
7,2010-04-19,2010-10-08,122
g.283,2010-04-21,2010-04-21,1
8,2010-04-24,2010-10-09,25
C.282,2010-04-25,2010-05-30,6
U.282,2010-04-25,2010-05-30,6
f.282,2010-04-26,2010-06-03,23
p.282,2010-04-26,2010-06-03,23
2.282,2010-04-26,2010-06-04,29
A.282,2010-04-26,2010-06-04,29
e.282,2010-04-26,2010-06-04,29
E.282,2010-04-26,2010-06-04,23
G.282,2010-04-26,2010-06-04,28
W.282,2010-04-26,2010-06-04,29
g.282,2010-04-28,2010-06-02,6
F.282,2010-04-30,2010-06-04,6
P.282,2010-04-30,2010-06-04,6
B.282,2010-05-01,2010-06-05,6
K.282,2010-05-01,2010-06-05,6
S.282,2010-05-01,2010-06-05,6
k.282,2010-05-02,2010-05-30,5
7.282,2010-05-05,2010-05-07,3
8.282,2010-05-08,2010-05-08,1
C.285,2010-05-09,2010-05-30,4
k.285,2010-05-09,2010-05-30,4
U.285,2010-05-09,2010-05-30,4
f.285,2010-05-10,2010-06-03,15
p.285,2010-05-10,2010-06-03,15
2.285,2010-05-10,2010-06-04,19
7.285,2010-05-10,2010-06-04,19
A.285,2010-05-10,2010-06-04,19
e.285,2010-05-10,2010-06-04,19
E.285,2010-05-10,2010-06-04,15
G.285,2010-05-10,2010-06-04,19
W.285,2010-05-10,2010-06-04,19
g.285,2010-05-12,2010-06-02,4
F.285,2010-05-14,2010-06-04,4
P.285,2010-05-14,2010-06-04,4
8.285,2010-05-15,2010-06-05,4
B.285,2010-05-15,2010-06-05,4
K.285,2010-05-15,2010-06-05,4
S.285,2010-05-15,2010-06-05,4
f.286,2010-05-25,2010-05-27,3
p.286,2010-05-25,2010-05-27,3
2.286,2010-05-25,2010-05-28,4
7.286,2010-05-25,2010-05-28,4
A.286,2010-05-25,2010-05-28,4
e.286,2010-05-25,2010-05-28,4
E.286,2010-05-25,2010-05-28,3
G.286,2010-05-25,2010-05-28,4
W.286,2010-05-25,2010-05-28,4
g.286,2010-05-26,2010-05-26,1
F.286,2010-05-28,2010-05-28,1
P.286,2010-05-28,2010-05-28,1
8.286,2010-05-29,2010-05-29,1
B.286,2010-05-29,2010-05-29,1
K.286,2010-05-29,2010-05-29,1
S.286,2010-05-29,2010-05-29,1
C.287,2010-05-30,2010-05-30,1
k.287,2010-05-30,2010-05-30,1
U.287,2010-05-30,2010-05-30,1
X.282,2010-05-31,2010-05-31,1
X.285,2010-05-31,2010-05-31,1
X.287,2010-05-31,2010-05-31,1
f.287,2010-06-01,2010-06-03,3
p.287,2010-06-01,2010-06-03,3
2.287,2010-06-01,2010-06-04,4
7.287,2010-06-01,2010-06-04,4
A.287,2010-06-01,2010-06-04,4
e.287,2010-06-01,2010-06-04,4
E.287,2010-06-01,2010-06-04,3
G.287,2010-06-01,2010-06-04,4
t,2010-06-01,2010-06-04,4
t.282,2010-06-01,2010-06-04,4
t.285,2010-06-01,2010-06-04,4
t.287,2010-06-01,2010-06-04,4
W.287,2010-06-01,2010-06-04,4
g.287,2010-06-02,2010-06-02,1
F.287,2010-06-04,2010-06-04,1
P.287,2010-06-04,2010-06-04,1
8.287,2010-06-05,2010-06-05,1
B.287,2010-06-05,2010-06-05,1
K.287,2010-06-05,2010-06-05,1
r.285,2010-06-05,2010-06-05,1
r.287,2010-06-05,2010-06-05,1
S.287,2010-06-05,2010-06-05,1
9.279,2010-06-06,2010-08-08,9
C.279,2010-06-06,2010-08-08,9
U.279,2010-06-06,2010-08-08,10
9,2010-06-06,2010-09-19,15
e.279,2010-06-07,2010-06-15,7
E.279,2010-06-07,2010-06-15,6
f.279,2010-06-07,2010-08-05,35
p.279,2010-06-07,2010-08-05,35
2.279,2010-06-07,2010-08-06,44
7.279,2010-06-07,2010-08-06,44
A.279,2010-06-07,2010-08-06,44
W.279,2010-06-07,2010-08-06,44
g.279,2010-06-09,2010-06-09,1
j.279,2010-06-09,2010-06-09,1
F.279,2010-06-11,2010-08-06,9
P.279,2010-06-11,2010-08-06,9
R.279,2010-06-12,2010-06-12,1
8.279,2010-06-12,2010-08-07,9
B.279,2010-06-12,2010-08-07,9
S.279,2010-06-12,2010-08-07,9
9.289,2010-06-20,2010-08-08,7
C.289,2010-06-20,2010-08-08,6
U.289,2010-06-20,2010-08-08,8
f.289,2010-06-21,2010-08-12,31
p.289,2010-06-21,2010-08-12,31
2.289,2010-06-21,2010-08-13,39
7.289,2010-06-21,2010-08-13,39
A.289,2010-06-21,2010-08-13,39
W.289,2010-06-21,2010-08-13,39
F.289,2010-06-25,2010-08-13,8
P.289,2010-06-25,2010-08-13,8
H.279,2010-06-26,2010-06-26,1
H.289,2010-06-26,2010-06-26,1
8.289,2010-06-26,2010-08-14,8
B.289,2010-06-26,2010-08-14,7
S.289,2010-06-26,2010-08-14,8
h.279,2010-06-27,2010-06-27,1
h.289,2010-06-27,2010-06-27,1
c.279,2010-07-04,2010-07-04,1
c.289,2010-07-04,2010-07-04,1
X.279,2010-07-05,2010-07-05,1
X.289,2010-07-05,2010-07-05,1
f.290,2010-07-06,2010-09-02,35
p.290,2010-07-06,2010-09-02,35
2.290,2010-07-06,2010-09-03,44
7.290,2010-07-06,2010-09-03,44
A.290,2010-07-06,2010-09-03,44
W.290,2010-07-06,2010-09-03,44
F.290,2010-07-09,2010-09-03,9
P.290,2010-07-09,2010-09-03,9
b.289,2010-07-10,2010-07-10,1
8.290,2010-07-10,2010-09-04,9
B.290,2010-07-10,2010-09-04,9
S.290,2010-07-10,2010-09-04,9
l.289,2010-07-11,2010-07-11,1
9.290,2010-07-11,2010-08-29,8
C.290,2010-07-11,2010-08-29,8
U.290,2010-07-11,2010-08-29,8
p.291,2010-07-22,2010-07-22,1
7.291,2010-07-22,2010-07-23,2
A.291,2010-07-22,2010-07-23,2
W.291,2010-07-22,2010-07-23,2
P.291,2010-07-23,2010-07-23,1
8.291,2010-07-24,2010-07-24,1
B.291,2010-07-24,2010-07-24,1
S.291,2010-07-24,2010-07-24,1
9.292,2010-07-25,2010-08-29,6
C.292,2010-07-25,2010-08-29,6
U.292,2010-07-25,2010-08-29,6
p.292,2010-07-26,2010-09-02,24
7.292,2010-07-26,2010-09-03,30
A.292,2010-07-26,2010-09-03,30
W.292,2010-07-26,2010-09-03,30
P.292,2010-07-30,2010-09-03,6
8.292,2010-07-31,2010-09-04,6
B.292,2010-07-31,2010-09-04,6
S.292,2010-07-31,2010-09-04,6
g.290,2010-08-05,2010-08-13,7
g.292,2010-08-05,2010-08-16,8
G.292,2010-08-07,2010-08-14,2
i.290,2010-08-08,2010-08-08,1
i.292,2010-08-08,2010-08-15,2
9.293,2010-08-15,2010-08-29,3
C.293,2010-08-15,2010-08-29,3
U.293,2010-08-15,2010-08-29,3
g.293,2010-08-16,2010-08-17,2
p.293,2010-08-16,2010-09-02,12
7.293,2010-08-16,2010-09-03,15
A.293,2010-08-16,2010-09-03,15
W.293,2010-08-16,2010-09-03,15
P.293,2010-08-20,2010-09-03,3
8.293,2010-08-21,2010-09-04,3
B.293,2010-08-21,2010-09-04,3
S.293,2010-08-21,2010-09-04,3
V.288,2010-09-05,2010-09-05,1
9.288,2010-09-05,2010-09-19,3
k.288,2010-09-05,2010-10-31,9
C.288,2010-09-05,2010-11-28,13
U.288,2010-09-05,2010-11-28,13
X.288,2010-09-06,2010-11-25,2
7.288,2010-09-07,2010-11-30,60
A.288,2010-09-07,2010-11-30,60
e.288,2010-09-07,2010-11-30,50
