ogc_fid,rte,dir,rte_desc,dir_desc,type,stop_seq,stop_id,stop_name,jurisdic,zipcode,frequent
5505,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4400,1375,SE Division & 12th,Portland,97202,True
5506,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4450,1419,SE Division & 17th,Portland,97202,True
5507,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4500,1435,SE Division & 20th,Portland,97202,True
5508,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4550,1439,SE Division & 23rd,Portland,97202,True
5509,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4600,1441,SE Division & 26th,Portland,97202,True
5566,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4650,1445,SE Division & 28th Pl,Portland,97202,True
5567,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4700,1447,SE Division & 30th,Portland,97202,True
5575,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4750,1449,SE Division & 32nd,Portland,97202,True
5568,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4800,1451,SE Division & 34th,Portland,97202,True
5574,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4875,13753,SE Division & 36th,Portland,97202,True
5569,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,4950,1458,SE Division & Cesar Chavez Blvd,Portland,97202,True
5510,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5000,1462,SE Division & 41st,Portland,97202,True
5572,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5050,13696,SE Division & 42nd,Portland,97206,True
5511,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5100,1465,SE Division & 45th,Portland,97206,True
5512,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5150,1467,SE Division & 48th,Portland,97206,True
5585,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5200,13952,SE Division & 49th,Portland,97206,True
5513,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5250,1471,SE Division & 52nd,Portland,97206,True
5514,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5300,1475,SE Division & 55th,Portland,97206,True
5515,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5350,1477,SE Division & 60th,Portland,97206,True
5516,4,0,4-Division/Fessenden,To Gresham Transit Center,BUS,5400,1480,SE Division & 64th,Portland,97206,True
