"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
1,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",100,13248,"Clackamas Town Center Transit Center","Clackamas Co.","97015","False"
2,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",150,12922,"Clackamas Town Center Mall","Clackamas Co.","97086","False"
3,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",350,1936,"11900 Block SE Fuller (La Salle)","Clackamas Co.","97222","False"
4,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",400,1940,"SE Fuller & Southgate","Clackamas Co.","97222","False"
5,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",650,3428,"12300 Block SE Linwood","Milwaukie","97222","False"
6,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",700,3432,"11900 Block SE Linwood (Linwood Sch)","Milwaukie","97222","False"
7,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",750,3430,"SE Linwood & Furnberg","Milwaukie","97222","False"
8,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",800,3426,"11600 Block SE Linwood","Milwaukie","97222","False"
9,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",850,3425,"SE Linwood & Montgomery","Milwaukie","97222","False"
10,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",900,3434,"SE Linwood & Monroe","Clackamas Co.","97222","False"
11,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",950,13783,"SE Linwood & King","Clackamas Co.","97222","False"
12,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1000,13785,"SE Linwood & Needham Ct","Clackamas Co.","97222","False"
13,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1050,13787,"SE Johnson Creek & 58th Dr","Milwaukie","97206","False"
14,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1100,13789,"SE Johnson Creek & Stanley","Milwaukie","97206","False"
15,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1200,3080,"SE Johnson Creek & Springwater Corridor","Portland","97222","False"
16,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1300,3076,"SE Johnson Creek & 42nd","Milwaukie","97222","False"
17,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1350,3082,"SE Johnson Creek & 36th","Portland","97222","False"
18,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1450,13770,"SE Tacoma Park & Ride","Portland","97202","False"
19,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1500,3854,"8500 Block SE McLoughlin","Milwaukie","97222","False"
20,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1250,3078,"SE Johnson Creek & Brookside","Milwaukie","97222","False"
21,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1550,3846,"SE Frontage Rd & Ochoco St","Milwaukie","97222","False"
22,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1600,12842,"SE Main & Beta","Milwaukie","97222","False"
23,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1650,3661,"SE Main & Milport","Milwaukie","97222","False"
24,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1700,12463,"10200 Block SE Main","Milwaukie","97222","False"
25,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",1750,3668,"SE Main & Scott","Milwaukie","97222","False"
26,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2200,8225,"SE Jackson & 21st","Milwaukie","97222","False"
27,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2300,7141,"SE 22nd & Bluebird","Milwaukie","97222","False"
28,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2350,7144,"SE 22nd & Wren","Milwaukie","97222","False"
29,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2400,5312,"SE Sparrow & 22nd","Milwaukie","97222","False"
30,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2450,4820,"12500 Block SE River Rd","Milwaukie","97222","False"
31,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2500,4821,"12600 Block SE River Rd","Clackamas Co.","97222","False"
32,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2600,4847,"SE River Rd & Evergreen","Clackamas Co.","97222","False"
33,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2700,13756,"SE River Rd & Torbank","Clackamas Co.","97222","False"
34,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2750,4841,"SE River Rd & Courtney","Clackamas Co.","97222","False"
35,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2800,4823,"14100 Block SE River Rd","Clackamas Co.","97267","False"
36,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2850,4858,"SE River Rd & Maple","Clackamas Co.","97267","False"
37,34,0,"34-Linwood/River Rd","To Oregon City Transit Center","BUS",2900,4866,"SE River Rd & Oak Grove","Clackamas Co.","97267","False"
