"ogc_fid","rte","dir","rte_desc","public_rte","dir_desc","frequent","type"
1,74,1,"162nd Ave","74","To Powell & 182nd","False","BUS"
2,208,0,"Portland Aerial Tram","","To South Waterfront","False","AT"
3,54,1,"Beaverton-Hillsdale Hwy","54","To Portland City Center","True","BUS"
4,80,0,"Kane/Troutdale Rd","80","To Troutdale","False","BUS"
5,38,1,"Boones Ferry Rd","38","To Portland City Center","False","BUS"
6,88,1,"Hart/198th","88","To Beaverton Transit Center","False","BUS"
7,33,0,"McLoughlin/King Rd","33","To Oregon City TC and Clackamas Community College","False","BUS"
8,68,1,"Marquam Hill/Collins Circle","68","To PSU & Marquam Hill","False","BUS"
9,54,0,"Beaverton-Hillsdale Hwy","54","To Beaverton Transit Center","False","BUS"
10,47,0,"Main/Evergreen","47","To Hillsboro Transit Center","False","BUS"
11,55,1,"Hamilton","55","To Portland City Center","False","BUS"
12,44,0,"Capitol Hwy/Mocks Crest","44","To PCC Sylvania","False","BUS"
13,64,1,"Marquam Hill/Tigard","64","To Marquam Hill","False","BUS"
14,53,0,"Arctic/Allen","53","Evening Loop","False","BUS"
15,6,0,"Martin Luther King Jr Blvd","6","To Jantzen Beach","True","BUS"
16,8,1,"Jackson Park/NE 15th","8","To Dekum & M L King Jr Blvd","True","BUS"
17,16,0,"Front Ave/St Helens Rd","16","To St Johns and Sauvie Island","False","BUS"
18,15,0,"Belmont/NW 23rd","15","To City Ctr, Montgomery Pk, Thurman or Yeon & 44th","False","BUS"
19,39,0,"Lewis & Clark","39","To  Lewis & Clark College","False","BUS"
20,152,1,"Milwaukie","152","To Milwaukie","False","BUS"
21,194,0,"A Loop","Por","Clockwise","False","SC"
22,72,0,"Killingsworth/82nd Ave","72","To Swan Island","True","BUS"
23,21,1,"Sandy Blvd/223rd","21","To Gresham Transit Center","False","BUS"
24,85,1,"Swan Island","85","To Rose Quarter Transit Center","False","BUS"
25,34,1,"Linwood/River Rd","34","To Clackamas Town Center","False","BUS"
26,193,1,"NS Line","Por","To South Waterfront","False","SC"
27,97,1,"Tualatin-Sherwood Rd","97","To Tualatin WES Station","False","BUS"
28,75,0,"Cesar Chavez/Lombard","75","To St Johns","True","BUS"
29,190,1,"MAX Yellow Line","","To Portland City Center","True","MAX"
30,195,0,"B Loop","Por","Counter-clockwise","False","SC"
31,4,1,"Division/Fessenden","4","To St Johns","True","BUS"
